code,description,hours_pp,hours_ytd,amount_pp,amount_ytd,pay_period
50,CREDIT HOURS,,23.25,,872.1,"2017,03"
61,ANNUAL LEAVE,,22,,816.86,"2017,03"
66,OTHER LEAVE,,36.25,,"1,363.08","2017,03"
75,RETIREMENT,,,134.46,664.78,"2017,03"
75,ROTH TSP-FERS,,,152.8,755.44,"2017,03"
76,SOCIAL SECURITY (OASDI),,,188.48,931.84,"2017,03"
77,FEDERAL TAX EXEMPTS S01,,,535.05,"2,632.69","2017,03"
78,ST TAX MD EXEMPTS S00,,,235.57,"1,164.31","2017,03"
83,FEHBA - ENROLL CODE E34,,,55.85,275.03,"2017,03"
83,DENTAL PLAN,,,15.98,79,"2017,03"
88,CHKING/SAVING ********,,,14,70,"2017,03"
97,MEDICARE TAX WITHHELD,,,44.08,217.94,"2017,03"
1,REGULAR TIME,42.75,361.25,"1,633.05","13,689.81","2017,04"
50,CREDIT HOURS,12.25,35.5,467.95,"1,340.05","2017,04"
61,ANNUAL LEAVE,17,39,649.4,"1,466.26","2017,04"
66,OTHER LEAVE,8,44.25,305.6,"1,668.68","2017,04"
75,RETIREMENT,,,134.46,799.24,"2017,04"
75,ROTH TSP-FERS,,,152.8,908.24,"2017,04"
76,SOCIAL SECURITY (OASDI),,,188.48,"1,120.32","2017,04"
77,FEDERAL TAX EXEMPTS S01,,,535.05,"3,167.74","2017,04"
78,ST TAX MD EXEMPTS S00,,,235.57,"1,399.88","2017,04"
83,FEHBA - ENROLL CODE E34,,,55.85,330.88,"2017,04"
83,DENTAL PLAN,,,15.98,94.98,"2017,04"
88,CHKING/SAVING ********,,,14,84,"2017,04"
97,MEDICARE TAX WITHHELD,,,44.08,262.02,"2017,04"
1,REGULAR TIME,45.75,407,"1,747.65","15,437.46","2017,05"
50,CREDIT HOURS,,35.5,,"1,340.05","2017,05"
61,ANNUAL LEAVE,24.75,63.75,945.45,"2,411.71","2017,05"
62,SICK LEAVE,8,8,305.6,305.6,"2017,05"
66,OTHER LEAVE,1.5,45.75,57.3,"1,725.98","2017,05"
75,RETIREMENT,,,134.46,933.7,"2017,05"
75,ROTH TSP-FERS,,,152.8,"1,061.04","2017,05"
76,SOCIAL SECURITY (OASDI),,,188.48,"1,308.80","2017,05"
77,FEDERAL TAX EXEMPTS S01,,,535.05,"3,702.79","2017,05"
78,ST TAX MD EXEMPTS S00,,,235.57,"1,635.45","2017,05"
83,FEHBA - ENROLL CODE E34,,,55.85,386.73,"2017,05"
83,DENTAL PLAN,,,15.98,110.96,"2017,05"
88,CHKING/SAVING ********,,,14,98,"2017,05"
97,MEDICARE TAX WITHHELD,,,44.08,306.1,"2017,05"
1,REGULAR TIME,80,487,"3,056.00","18,493.46","2017,06"
50,CREDIT HOURS,,35.5,,"1,340.05","2017,06"
61,ANNUAL LEAVE,,63.75,,"2,411.71","2017,06"
62,SICK LEAVE,,8,,305.6,"2017,06"
66,OTHER LEAVE,,45.75,,"1,725.98","2017,06"
75,RETIREMENT,,,134.46,"1,068.16","2017,06"
75,ROTH TSP-FERS,,,152.8,"1,213.84","2017,06"
76,SOCIAL SECURITY (OASDI),,,188.48,"1,497.28","2017,06"
77,FEDERAL TAX EXEMPTS S01,,,535.05,"4,237.84","2017,06"
78,ST TAX MD EXEMPTS S00,,,235.57,"1,871.02","2017,06"
83,FEHBA - ENROLL CODE E34,,,55.85,442.58,"2017,06"
83,DENTAL PLAN,,,15.98,126.94,"2017,06"
88,CHKING/SAVING ********,,,14,112,"2017,06"
97,MEDICARE TAX WITHHELD,,,44.08,350.18,"2017,06"
1,REGULAR TIME,75.5,562.5,"2,884.10","21,377.56","2017,07"
50,CREDIT HOURS,,35.5,,"1,340.05","2017,07"
61,ANNUAL LEAVE,4.5,68.25,171.9,"2,583.61","2017,07"
62,SICK LEAVE,,8,,305.6,"2017,07"
66,OTHER LEAVE,,45.75,,"1,725.98","2017,07"
75,RETIREMENT,,,134.46,"1,202.62","2017,07"
75,ROTH TSP-FERS,,,152.8,"1,366.64","2017,07"
76,SOCIAL SECURITY (OASDI),,,188.48,"1,685.76","2017,07"
77,FEDERAL TAX EXEMPTS S01,,,535.05,"4,772.89","2017,07"
78,ST TAX MD EXEMPTS S00,,,235.57,"2,106.59","2017,07"
83,FEHBA - ENROLL CODE E34,,,55.85,498.43,"2017,07"
83,DENTAL PLAN,,,15.98,142.92,"2017,07"
88,CHKING/SAVING ********,,,14,126,"2017,07"
97,MEDICARE TAX WITHHELD,,,44.08,394.26,"2017,07"
1,REGULAR TIME,80,642.5,"3,056.00","24,433.56","2017,08"
50,CREDIT HOURS,,35.5,,"1,340.05","2017,08"
61,ANNUAL LEAVE,,68.25,,"2,583.61","2017,08"
62,SICK LEAVE,,8,,305.6,"2017,08"
66,OTHER LEAVE,,45.75,,"1,725.98","2017,08"
75,RETIREMENT,,,134.46,"1,337.08","2017,08"
75,ROTH TSP-FERS,,,152.8,"1,519.44","2017,08"
76,SOCIAL SECURITY (OASDI),,,188.48,"1,874.24","2017,08"
77,FEDERAL TAX EXEMPTS S01,,,535.05,"5,307.94","2017,08"
78,ST TAX MD EXEMPTS S00,,,235.57,"2,342.16","2017,08"
83,FEHBA - ENROLL CODE E34,,,55.85,554.28,"2017,08"
83,DENTAL PLAN,,,15.98,158.9,"2017,08"
88,CHKING/SAVING ********,,,14,140,"2017,08"
97,MEDICARE TAX WITHHELD,,,44.08,438.34,"2017,08"
1,REGULAR TIME,71.5,714,"2,731.30","27,164.86","2017,09"
50,CREDIT HOURS,0.5,36,19.1,"1,359.15","2017,09"
61,ANNUAL LEAVE,,68.25,,"2,583.61","2017,09"
62,SICK LEAVE,8,16,305.6,611.2,"2017,09"
66,OTHER LEAVE,,45.75,,"1,725.98","2017,09"
75,RETIREMENT,,,134.46,"1,471.54","2017,09"
75,ROTH TSP-FERS,,,152.8,"1,672.24","2017,09"
76,SOCIAL SECURITY (OASDI),,,188.48,"2,062.72","2017,09"
77,FEDERAL TAX EXEMPTS S01,,,535.05,"5,842.99","2017,09"
78,ST TAX MD EXEMPTS S00,,,235.57,"2,577.73","2017,09"
83,FEHBA - ENROLL CODE E34,,,55.85,610.13,"2017,09"
83,DENTAL PLAN,,,15.98,174.88,"2017,09"
88,CHKING/SAVING ********,,,14,154,"2017,09"
97,MEDICARE TAX WITHHELD,,,44.08,482.42,"2017,09"
1,REGULAR TIME,49.5,763.5,"1,890.90","29,055.76","2017,10"
50,CREDIT HOURS,7,43,267.4,"1,626.55","2017,10"
61,ANNUAL LEAVE,23.5,91.75,897.7,"3,481.31","2017,10"
62,SICK LEAVE,,16,,611.2,"2017,10"
66,OTHER LEAVE,,45.75,,"1,725.98","2017,10"
75,RETIREMENT,,,134.46,"1,606.00","2017,10"
75,ROTH TSP-FERS,,,152.8,"1,825.04","2017,10"
76,SOCIAL SECURITY (OASDI),,,188.48,"2,251.20","2017,10"
77,FEDERAL TAX EXEMPTS S01,,,535.05,"6,378.04","2017,10"
78,ST TAX MD EXEMPTS S00,,,235.57,"2,813.30","2017,10"
83,FEHBA - ENROLL CODE E34,,,55.85,665.98,"2017,10"
83,DENTAL PLAN,,,15.98,190.86,"2017,10"
88,CHKING/SAVING ********,,,14,168,"2017,10"
97,MEDICARE TAX WITHHELD,,,44.08,526.5,"2017,10"
1,REGULAR TIME,71.5,835,"2,731.30","31,787.06","2017,11"
50,CREDIT HOURS,,43,,"1,626.55","2017,11"
61,ANNUAL LEAVE,0.5,92.25,19.1,"3,500.41","2017,11"
62,SICK LEAVE,,16,,611.2,"2017,11"
66,OTHER LEAVE,8,53.75,305.6,"2,031.58","2017,11"
75,RETIREMENT,,,134.46,"1,740.46","2017,11"
75,ROTH TSP-FERS,,,152.8,"1,977.84","2017,11"
76,SOCIAL SECURITY (OASDI),,,188.48,"2,439.68","2017,11"
77,FEDERAL TAX EXEMPTS S01,,,535.05,"6,913.09","2017,11"
78,ST TAX DC EXEMPTS 000,,,196.86,196.86,"2017,11"
78,ST TAX MD EXEMPTS S00,,,,"2,813.30","2017,11"
83,FEHBA - ENROLL CODE E34,,,55.85,721.83,"2017,11"
83,DENTAL PLAN,,,15.98,206.84,"2017,11"
88,CHKING/SAVING ********,,,14,182,"2017,11"
97,MEDICARE TAX WITHHELD,,,44.08,570.58,"2017,11"
1,REGULAR TIME,80,915,"3,056.00","34,843.06","2017,12"
50,CREDIT HOURS,,43,,"1,626.55","2017,12"
61,ANNUAL LEAVE,,92.25,,"3,500.41","2017,12"
62,SICK LEAVE,,16,,611.2,"2017,12"
66,OTHER LEAVE,,53.75,,"2,031.58","2017,12"
75,RETIREMENT,,,134.46,"1,874.92","2017,12"
75,ROTH TSP-FERS,,,152.8,"2,130.64","2017,12"
76,SOCIAL SECURITY (OASDI),,,188.48,"2,628.16","2017,12"
77,FEDERAL TAX EXEMPTS S01,,,535.05,"7,448.14","2017,12"
78,ST TAX DC EXEMPTS 000,,,196.86,393.72,"2017,12"
78,ST TAX MD EXEMPTS S00,,,,"2,813.30","2017,12"
83,FEHBA - ENROLL CODE E34,,,55.85,777.68,"2017,12"
83,DENTAL PLAN,,,15.98,222.82,"2017,12"
88,CHKING/SAVING ********,,,14,196,"2017,12"
97,MEDICARE TAX WITHHELD,,,44.08,614.66,"2017,12"
1,REGULAR TIME,67.25,982.25,"2,568.95","37,412.01","2017,13"
50,CREDIT HOURS,4.75,47.75,181.45,"1,808.00","2017,13"
61,ANNUAL LEAVE,,92.25,,"3,500.41","2017,13"
62,SICK LEAVE,,16,,611.2,"2017,13"
66,OTHER LEAVE,8,61.75,305.6,"2,337.18","2017,13"
75,RETIREMENT,,,134.46,"2,009.38","2017,13"
75,ROTH TSP-FERS,,,152.8,"2,283.44","2017,13"
76,SOCIAL SECURITY (OASDI),,,188.48,"2,816.64","2017,13"
77,FEDERAL TAX EXEMPTS S01,,,535.05,"7,983.19","2017,13"
78,ST TAX DC EXEMPTS 000,,,196.86,590.58,"2017,13"
78,ST TAX MD EXEMPTS S00,,,,"2,813.30","2017,13"
83,FEHBA - ENROLL CODE E34,,,55.85,833.53,"2017,13"
83,DENTAL PLAN,,,15.98,238.8,"2017,13"
88,CHKING/SAVING ********,,,14,210,"2017,13"
97,MEDICARE TAX WITHHELD,,,44.08,658.74,"2017,13"
1,REGULAR TIME,80,"1,062.25","3,157.60","40,569.61","2017,14"
50,CREDIT HOURS,,47.75,,"1,808.00","2017,14"
61,ANNUAL LEAVE,,92.25,,"3,500.41","2017,14"
62,SICK LEAVE,,16,,611.2,"2017,14"
66,OTHER LEAVE,,61.75,,"2,337.18","2017,14"
75,RETIREMENT,,,138.93,"2,148.31","2017,14"
75,ROTH TSP-FERS,,,157.88,"2,441.32","2017,14"
76,SOCIAL SECURITY (OASDI),,,194.78,"3,011.42","2017,14"
77,FEDERAL TAX EXEMPTS S01,,,560.45,"8,543.64","2017,14"
78,ST TAX DC EXEMPTS 000,,,205.5,796.08,"2017,14"
78,ST TAX MD EXEMPTS S00,,,,"2,813.30","2017,14"
83,FEHBA - ENROLL CODE E34,,,55.85,889.38,"2017,14"
83,DENTAL PLAN,,,15.98,254.78,"2017,14"
88,CHKING/SAVING ********,,,14,224,"2017,14"
97,MEDICARE TAX WITHHELD,,,45.55,704.29,"2017,14"
1,REGULAR TIME,66.5,"1,128.75","2,624.75","43,194.36","2017,15"
50,CREDIT HOURS,,47.75,,"1,808.00","2017,15"
61,ANNUAL LEAVE,13.5,105.75,532.85,"4,033.26","2017,15"
62,SICK LEAVE,,16,,611.2,"2017,15"
66,OTHER LEAVE,,61.75,,"2,337.18","2017,15"
75,RETIREMENT,,,138.93,"2,287.24","2017,15"
75,ROTH TSP-FERS,,,157.88,"2,599.20","2017,15"
76,SOCIAL SECURITY (OASDI),,,194.78,"3,206.20","2017,15"
77,FEDERAL TAX EXEMPTS S01,,,560.45,"9,104.09","2017,15"
78,ST TAX DC EXEMPTS 000,,,205.5,"1,001.58","2017,15"
78,ST TAX MD EXEMPTS S00,,,,"2,813.30","2017,15"
83,FEHBA - ENROLL CODE E34,,,55.85,945.23,"2017,15"
83,DENTAL PLAN,,,15.98,270.76,"2017,15"
88,CHKING/SAVING ********,,,14,238,"2017,15"
97,MEDICARE TAX WITHHELD,,,45.55,749.84,"2017,15"
1,REGULAR TIME,80,"1,208.75","3,157.60","46,351.96","2017,16"
50,CREDIT HOURS,,47.75,,"1,808.00","2017,16"
61,ANNUAL LEAVE,,105.75,,"4,033.26","2017,16"
62,SICK LEAVE,,16,,611.2,"2017,16"
66,OTHER LEAVE,,61.75,,"2,337.18","2017,16"
75,RETIREMENT,,,138.93,"2,426.17","2017,16"
75,ROTH TSP-FERS,,,157.88,"2,757.08","2017,16"
76,SOCIAL SECURITY (OASDI),,,194.78,"3,400.98","2017,16"
77,FEDERAL TAX EXEMPTS S01,,,560.45,"9,664.54","2017,16"
78,ST TAX DC EXEMPTS 000,,,205.5,"1,207.08","2017,16"
78,ST TAX MD EXEMPTS S00,,,,"2,813.30","2017,16"
83,FEHBA - ENROLL CODE E34,,,55.85,"1,001.08","2017,16"
83,DENTAL PLAN,,,15.98,286.74,"2017,16"
88,CHKING/SAVING ********,,,14,252,"2017,16"
97,MEDICARE TAX WITHHELD,,,45.55,795.39,"2017,16"
1,REGULAR TIME,69.25,"1,278.00","2,733.30","49,085.26","2017,17"
50,CREDIT HOURS,,47.75,,"1,808.00","2017,17"
61,ANNUAL LEAVE,,105.75,,"4,033.26","2017,17"
62,SICK LEAVE,8.75,24.75,345.36,956.56,"2017,17"
66,OTHER LEAVE,2,63.75,78.94,"2,416.12","2017,17"
75,RETIREMENT,,,138.93,"2,565.10","2017,17"
75,ROTH TSP-FERS,,,157.88,"2,914.96","2017,17"
76,SOCIAL SECURITY (OASDI),,,194.78,"3,595.76","2017,17"
77,FEDERAL TAX EXEMPTS S01,,,560.45,"10,224.99","2017,17"
78,ST TAX DC EXEMPTS 000,,,205.5,"1,412.58","2017,17"
78,ST TAX MD EXEMPTS S00,,,,"2,813.30","2017,17"
83,FEHBA - ENROLL CODE E34,,,55.85,"1,056.93","2017,17"
83,DENTAL PLAN,,,15.98,302.72,"2017,17"
88,CHKING/SAVING ********,,,14,266,"2017,17"
97,MEDICARE TAX WITHHELD,,,45.55,840.94,"2017,17"
1,REGULAR TIME,72,"1,350.00","2,841.84","51,927.10","2017,18"
50,CREDIT HOURS,,47.75,,"1,808.00","2017,18"
61,ANNUAL LEAVE,,105.75,,"4,033.26","2017,18"
62,SICK LEAVE,,24.75,,956.56,"2017,18"
66,OTHER LEAVE,8,71.75,315.76,"2,731.88","2017,18"
75,RETIREMENT,,,138.93,"2,704.03","2017,18"
75,ROTH TSP-FERS,,,157.88,"3,072.84","2017,18"
76,SOCIAL SECURITY (OASDI),,,194.78,"3,790.54","2017,18"
77,FEDERAL TAX EXEMPTS S01,,,560.45,"10,785.44","2017,18"
78,ST TAX DC EXEMPTS 000,,,205.5,"1,618.08","2017,18"
78,ST TAX MD EXEMPTS S00,,,,"2,813.30","2017,18"
83,FEHBA - ENROLL CODE E34,,,55.85,"1,112.78","2017,18"
83,DENTAL PLAN,,,15.98,318.7,"2017,18"
88,CHKING/SAVING ********,,,14,280,"2017,18"
97,MEDICARE TAX WITHHELD,,,45.55,886.49,"2017,18"
1,REGULAR TIME,80,"1,430.00","3,157.60","55,084.70","2017,19"
50,CREDIT HOURS,,47.75,,"1,808.00","2017,19"
61,ANNUAL LEAVE,,105.75,,"4,033.26","2017,19"
62,SICK LEAVE,,24.75,,956.56,"2017,19"
66,OTHER LEAVE,,71.75,,"2,731.88","2017,19"
75,RETIREMENT,,,138.93,"2,842.96","2017,19"
75,ROTH TSP-FERS,,,157.88,"3,230.72","2017,19"
76,SOCIAL SECURITY (OASDI),,,194.78,"3,985.32","2017,19"
77,FEDERAL TAX EXEMPTS S01,,,560.45,"11,345.89","2017,19"
78,ST TAX DC EXEMPTS 000,,,205.5,"1,823.58","2017,19"
78,ST TAX MD EXEMPTS S00,,,,"2,813.30","2017,19"
83,FEHBA - ENROLL CODE E34,,,55.85,"1,168.63","2017,19"
83,DENTAL PLAN,,,15.98,334.68,"2017,19"
88,CHKING/SAVING ********,,,14,294,"2017,19"
97,MEDICARE TAX WITHHELD,,,45.55,932.04,"2017,19"
1,REGULAR TIME,71,"1,501.00","2,802.37","57,887.07","2017,20"
50,CREDIT HOURS,1,48.75,39.47,"1,847.47","2017,20"
61,ANNUAL LEAVE,,105.75,,"4,033.26","2017,20"
62,SICK LEAVE,,24.75,,956.56,"2017,20"
66,OTHER LEAVE,8,79.75,315.76,"3,047.64","2017,20"
75,RETIREMENT,,,138.93,"2,981.89","2017,20"
75,ROTH TSP-FERS,,,157.88,"3,388.60","2017,20"
76,SOCIAL SECURITY (OASDI),,,194.78,"4,180.10","2017,20"
77,FEDERAL TAX EXEMPTS S01,,,560.45,"11,906.34","2017,20"
78,ST TAX DC EXEMPTS 000,,,205.5,"2,029.08","2017,20"
78,ST TAX MD EXEMPTS S00,,,,"2,813.30","2017,20"
83,FEHBA - ENROLL CODE E34,,,55.85,"1,224.48","2017,20"
83,DENTAL PLAN,,,15.98,350.66,"2017,20"
88,CHKING/SAVING ********,,,14,308,"2017,20"
97,MEDICARE TAX WITHHELD,,,45.55,977.59,"2017,20"
1,REGULAR TIME,78.75,"1,579.75","3,108.26","60,995.33","2017,21"
50,CREDIT HOURS,,48.75,,"1,847.47","2017,21"
61,ANNUAL LEAVE,,105.75,,"4,033.26","2017,21"
62,SICK LEAVE,1.25,26,49.34,"1,005.90","2017,21"
66,OTHER LEAVE,,79.75,,"3,047.64","2017,21"
75,RETIREMENT,,,138.93,"3,120.82","2017,21"
75,ROTH TSP-FERS,,,157.88,"3,546.48","2017,21"
76,SOCIAL SECURITY (OASDI),,,194.78,"4,374.88","2017,21"
77,FEDERAL TAX EXEMPTS S01,,,560.45,"12,466.79","2017,21"
78,ST TAX DC EXEMPTS 000,,,205.5,"2,234.58","2017,21"
78,ST TAX MD EXEMPTS S00,,,,"2,813.30","2017,21"
83,FEHBA - ENROLL CODE E34,,,55.85,"1,280.33","2017,21"
83,DENTAL PLAN,,,15.98,366.64,"2017,21"
88,CHKING/SAVING ********,,,14,322,"2017,21"
97,MEDICARE TAX WITHHELD,,,45.55,"1,023.14","2017,21"
1,REGULAR TIME,72,"1,651.75","2,841.84","63,837.17","2017,22"
50,CREDIT HOURS,,48.75,,"1,847.47","2017,22"
61,ANNUAL LEAVE,,105.75,,"4,033.26","2017,22"
62,SICK LEAVE,,26,,"1,005.90","2017,22"
66,OTHER LEAVE,8,87.75,315.76,"3,363.40","2017,22"
75,RETIREMENT,,,138.93,"3,259.75","2017,22"
75,ROTH TSP-FERS,,,157.88,"3,704.36","2017,22"
76,SOCIAL SECURITY (OASDI),,,194.78,"4,569.66","2017,22"
77,FEDERAL TAX EXEMPTS S01,,,560.45,"13,027.24","2017,22"
78,ST TAX DC EXEMPTS 000,,,205.5,"2,440.08","2017,22"
78,ST TAX MD EXEMPTS S00,,,,"2,813.30","2017,22"
83,FEHBA - ENROLL CODE E34,,,55.85,"1,336.18","2017,22"
83,DENTAL PLAN,,,15.98,382.62,"2017,22"
88,CHKING/SAVING ********,,,14,336,"2017,22"
97,MEDICARE TAX WITHHELD,,,45.55,"1,068.69","2017,22"
1,REGULAR TIME,67.5,"1,719.25","2,664.22","66,501.39","2017,23"
44,CASH AWARD,,,"1,903.00","1,903.00","2017,23"
50,CREDIT HOURS,2,50.75,78.94,"1,926.41","2017,23"
61,ANNUAL LEAVE,,105.75,,"4,033.26","2017,23"
62,SICK LEAVE,,26,,"1,005.90","2017,23"
66,OTHER LEAVE,10.5,98.25,414.44,"3,777.84","2017,23"
75,RETIREMENT,,,138.93,"3,398.68","2017,23"
75,ROTH TSP-FERS,,,157.88,"3,862.24","2017,23"
76,SOCIAL SECURITY (OASDI),,,312.77,"4,882.43","2017,23"
77,FEDERAL TAX EXEMPTS S01,,,"1,036.20","14,063.44","2017,23"
78,ST TAX DC EXEMPTS 000,,,313.81,"2,753.89","2017,23"
78,ST TAX MD EXEMPTS S00,,,,"2,813.30","2017,23"
83,FEHBA - ENROLL CODE E34,,,55.85,"1,392.03","2017,23"
83,DENTAL PLAN,,,15.98,398.6,"2017,23"
88,CHKING/SAVING ********,,,14,350,"2017,23"
97,MEDICARE TAX WITHHELD,,,73.14,"1,141.83","2017,23"
1,REGULAR TIME,80,"1,799.25","3,157.60","69,658.99","2017,24"
44,CASH AWARD,,,,"1,903.00","2017,24"
50,CREDIT HOURS,,50.75,,"1,926.41","2017,24"
61,ANNUAL LEAVE,,105.75,,"4,033.26","2017,24"
62,SICK LEAVE,,26,,"1,005.90","2017,24"
66,OTHER LEAVE,,98.25,,"3,777.84","2017,24"
75,RETIREMENT,,,138.93,"3,537.61","2017,24"
75,ROTH TSP-FERS,,,157.88,"4,020.12","2017,24"
76,SOCIAL SECURITY (OASDI),,,194.78,"5,077.21","2017,24"
77,FEDERAL TAX EXEMPTS S01,,,560.45,"14,623.89","2017,24"
78,ST TAX DC EXEMPTS 000,,,205.5,"2,959.39","2017,24"
78,ST TAX MD EXEMPTS S00,,,,"2,813.30","2017,24"
83,FEHBA - ENROLL CODE E34,,,55.85,"1,447.88","2017,24"
83,DENTAL PLAN,,,15.98,414.58,"2017,24"
88,CHKING/SAVING ********,,,14,364,"2017,24"
97,MEDICARE TAX WITHHELD,,,45.55,"1,187.38","2017,24"
1,REGULAR TIME,23.75,23.75,937.41,937.41,"2017,25"
50,CREDIT HOURS,24,24,947.28,947.28,"2017,25"
61,ANNUAL LEAVE,32.25,32.25,"1,272.91","1,272.91","2017,25"
75,RETIREMENT,,,138.93,138.93,"2017,25"
75,ROTH TSP-FERS,,,157.88,157.88,"2017,25"
76,SOCIAL SECURITY (OASDI),,,194.78,194.78,"2017,25"
77,FEDERAL TAX EXEMPTS S01,,,568.78,568.78,"2017,25"
78,ST TAX DC EXEMPTS 000,,,207.78,207.78,"2017,25"
83,FEHBA - ENROLL CODE E34,,,55.85,55.85,"2017,25"
83,DENTAL PLAN,,,15.98,15.98,"2017,25"
88,CHKING/SAVING ********,,,14,14,"2017,25"
97,MEDICARE TAX WITHHELD,,,45.55,45.55,"2017,25"
1,REGULAR TIME,60.5,84.25,"2,387.94","3,325.35","2017,26"
50,CREDIT HOURS,,24,,947.28,"2017,26"
61,ANNUAL LEAVE,,32.25,,"1,272.91","2017,26"
66,OTHER LEAVE,19.5,19.5,769.66,769.66,"2017,26"
75,RETIREMENT,,,138.93,277.86,"2017,26"
75,ROTH TSP-FERS,,,157.88,315.76,"2017,26"
76,SOCIAL SECURITY (OASDI),,,194.78,389.56,"2017,26"
77,FEDERAL TAX EXEMPTS S01,,,568.78,"1,137.56","2017,26"
78,ST TAX DC EXEMPTS 000,,,207.78,415.56,"2017,26"
83,FEHBA - ENROLL CODE E34,,,55.85,111.7,"2017,26"
83,DENTAL PLAN,,,15.98,31.96,"2017,26"
88,CHKING/SAVING ********,,,14,28,"2017,26"
97,MEDICARE TAX WITHHELD,,,45.55,91.1,"2017,26"
1,REGULAR TIME,71.5,155.75,"2,887.17","6,212.52","2018,01"
50,CREDIT HOURS,,24,,947.28,"2018,01"
61,ANNUAL LEAVE,0.5,32.75,20.19,"1,293.10","2018,01"
66,OTHER LEAVE,8,27.5,323.04,"1,092.70","2018,01"
75,RETIREMENT,,,142.14,420,"2018,01"
75,ROTH TSP-FERS,,,161.52,477.28,"2018,01"
76,SOCIAL SECURITY (OASDI),,,199.27,588.83,"2018,01"
77,FEDERAL TAX EXEMPTS S01,,,492.73,"1,630.29","2018,01"
78,ST TAX DC EXEMPTS 000,,,213.93,629.49,"2018,01"
83,FEHBA - ENROLL CODE E34,,,58.26,169.96,"2018,01"
83,DENTAL PLAN,,,16.4,48.36,"2018,01"
88,CHKING/SAVING ********,,,14,42,"2018,01"
97,MEDICARE TAX WITHHELD,,,46.6,137.7,"2018,01"
1,REGULAR TIME,73.5,229.25,"2,967.93","9,180.45","2018,02"
50,CREDIT HOURS,,24,,947.28,"2018,02"
61,ANNUAL LEAVE,,32.75,,"1,293.10","2018,02"
66,OTHER LEAVE,6.5,34,262.47,"1,355.17","2018,02"
75,RETIREMENT,,,142.14,562.14,"2018,02"
75,ROTH TSP-FERS,,,161.52,638.8,"2018,02"
76,SOCIAL SECURITY (OASDI),,,199.27,788.1,"2018,02"
77,FEDERAL TAX EXEMPTS S01,,,492.73,"2,123.02","2018,02"
78,ST TAX DC EXEMPTS 000,,,213.93,843.42,"2018,02"
83,FEHBA - ENROLL CODE E34,,,58.26,228.22,"2018,02"
83,DENTAL PLAN,,,16.4,64.76,"2018,02"
88,CHKING/SAVING ********,,,20,62,"2018,02"
97,MEDICARE TAX WITHHELD,,,46.6,184.3,"2018,02"
1,REGULAR TIME,71,300.25,"2,866.98","12,047.43","2018,03"
50,CREDIT HOURS,,24,,947.28,"2018,03"
61,ANNUAL LEAVE,8,40.75,323.04,"1,616.14","2018,03"
66,OTHER LEAVE,1,35,40.38,"1,395.55","2018,03"
75,RETIREMENT,,,142.14,704.28,"2018,03"
75,ROTH TSP-FERS,,,161.52,800.32,"2018,03"
76,SOCIAL SECURITY (OASDI),,,199.27,987.37,"2018,03"
77,FEDERAL TAX EXEMPTS S01,,,492.73,"2,615.75","2018,03"
78,ST TAX DC EXEMPTS 000,,,213.93,"1,057.35","2018,03"
83,FEHBA - ENROLL CODE E34,,,58.26,286.48,"2018,03"
83,DENTAL PLAN,,,16.4,81.16,"2018,03"
88,CHKING/SAVING ********,,,20,82,"2018,03"
97,MEDICARE TAX WITHHELD,,,46.6,230.9,"2018,03"
1,REGULAR TIME,48,348.25,"1,938.24","13,985.67","2018,04"
50,CREDIT HOURS,,24,,947.28,"2018,04"
61,ANNUAL LEAVE,16,56.75,646.08,"2,262.22","2018,04"
66,OTHER LEAVE,16,51,646.08,"2,041.63","2018,04"
75,RETIREMENT,,,142.14,846.42,"2018,04"
75,ROTH TSP-FERS,,,161.52,961.84,"2018,04"
76,SOCIAL SECURITY (OASDI),,,199.27,"1,186.64","2018,04"
77,FEDERAL TAX EXEMPTS S01,,,492.73,"3,108.48","2018,04"
78,ST TAX DC EXEMPTS 000,,,213.93,"1,271.28","2018,04"
83,FEHBA - ENROLL CODE E34,,,58.26,344.74,"2018,04"
83,DENTAL PLAN,,,16.4,97.56,"2018,04"
88,CHKING/SAVING ********,,,20,102,"2018,04"
97,MEDICARE TAX WITHHELD,,,46.6,277.5,"2018,04"
1,REGULAR TIME,80,428.25,"3,230.40","17,216.07","2018,05"
50,CREDIT HOURS,,24,,947.28,"2018,05"
61,ANNUAL LEAVE,,56.75,,"2,262.22","2018,05"
66,OTHER LEAVE,,51,,"2,041.63","2018,05"
75,RETIREMENT,,,142.14,988.56,"2018,05"
75,ROTH TSP-FERS,,,161.52,"1,123.36","2018,05"
76,SOCIAL SECURITY (OASDI),,,199.27,"1,385.91","2018,05"
77,FEDERAL TAX EXEMPTS S01,,,492.73,"3,601.21","2018,05"
78,ST TAX DC EXEMPTS 000,,,213.93,"1,485.21","2018,05"
83,FEHBA - ENROLL CODE E34,,,58.26,403,"2018,05"
83,DENTAL PLAN,,,16.4,113.96,"2018,05"
88,CHKING/SAVING ********,,,20,122,"2018,05"
97,MEDICARE TAX WITHHELD,,,46.6,324.1,"2018,05"
1,REGULAR TIME,68.5,496.75,"2,766.03","19,982.10","2018,06"
50,CREDIT HOURS,,24,,947.28,"2018,06"
61,ANNUAL LEAVE,,56.75,,"2,262.22","2018,06"
62,SICK LEAVE,3.5,3.5,141.33,141.33,"2018,06"
66,OTHER LEAVE,8,59,323.04,"2,364.67","2018,06"
